Kryptonite,3 Doors Down
The Anthem,Good Charlotte
Burn It to the Ground,Nickelback
My Sacrifice,Creed
Hanging By a Moment,Lifehouse
The Boys of Summer,The Ataris
Check Yes, Juliet,We the Kings
Dear Maria, Count Me In,All Time Low
Dirty Little Secret,The All-American Rejects
Ocean Avenue,Yellowcard
The Middle,Jimmy Eat World
I'd Do Anything,Simple Plan
Misery Business,Paramore
Face Down,The Red Jumpsuit Apparatus
Beverly Hills,Weezer
Yeah! (feat. Lil Jon & Ludacris),USHER
Beautiful Girls,Sean Kingston
Can't Stop,Red Hot Chili Peppers
Hey Ya!,Outkast
Mr. Brightside,The Killers
Closer,Ne-Yo
Kids,MGMT
Paper Planes,M.I.A.
Sex On Fire,Kings of Leon
Somebody Told Me,The Killers
Can't Get You Out of My Head,Kylie Minogue
Bad Day,Daniel Powter
Since U Been Gone,Kelly Clarkson
Rock Your Body,Justin Timberlake
99 Problems,JAY-Z
Yellow,Coldplay
Low (feat. T-Pain),Flo Rida
Take Me Out,Franz Ferdinand
Always On Time (feat. Ashanti),Ja Rule
50 Ways to Say Goodbye,Train
Drops of Jupiter (Tell Me),Train
Crazy,Gnarls Barkley
Crazy in Love (feat. Jay-Z),Beyoncé
Kiss Me Thru the Phone (feat. Sammie),Soulja Boy Tell 'Em
Move Along,The All-American Rejects
Whatcha Say,Jason Derulo
Toxic,Britney Spears
Unwritten,Natasha Bedingfield
All the Small Things,blink-182
American Boy (feat. Kanye West),Estelle
Lollipop (feat. Static Major),Lil Wayne
Oops!… I Did It Again,Britney Spears
It Wasn't Me (feat. Ricardo Ducent),Shaggy
Before He Cheats,Carrie Underwood
I'm Yours,Jason Mraz
You're Beautiful,James Blunt
I Write Sins Not Tragedies,Panic! At the Disco
Complicated,Avril Lavigne
I Know You Want Me (Calle Ocho) [Extended Mix],Pitbull
Love In This Club (feat. Young Jeezy),USHER
Don't Stop The Music,Rihanna
Ms. Jackson,Outkast
Big Pimpin' (feat. UGK),JAY-Z
SexyBack (feat. Timbaland),Justin Timberlake
Murder On The Dancefloor,Sophie Ellis-Bextor
How Do You Like Me Now?!,Toby Keith
Mud On the Tires,Brad Paisley
It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
Bless the Broken Road,Rascal Flatts
Kerosene,Miranda Lambert
My Love (feat. T.I.),Justin Timberlake
Lucky (feat. Colbie Caillat),Jason Mraz & Colbie Caillat
Dilemma (feat. Kelly Rowland),Nelly
The Reason,Hoobastank
Bubbly,Colbie Caillat
Bleeding Love,Leona Lewis
Best of You,Foo Fighters
Bring Me To Life (Remastered 2023),Evanescence
I Miss You,blink-182
The Kill (Bury Me),Thirty Seconds to Mars
Wish You Were Here,Incubus
Teenage Dirtbag,Wheatus
Breaking the Habit,LINKIN PARK
I Am the Highway,Audioslave
Gives You Hell,The All-American Rejects
Promiscuous (feat. Timbaland),Nelly Furtado
One, Two Step (feat. Missy Elliott),Ciara
Hot n Cold,Katy Perry
Chelsea Dagger,The Fratellis
Knives Out,Radiohead
I Believe in a Thing Called Love,The Darkness
Use Somebody,Kings of Leon
Bartender Song (aka Sittin' at a Bar) [Alt/Rock Mix],Rehab
You're Gonna Go Far, Kid,The Offspring
Viva La Vida,Coldplay
Paralyzer,Finger Eleven
It's Not Over,Daughtry
Ridin' Solo,Jason Derulo
According to You,Orianthi
Animal,Neon Trees
Grenade,Bruno Mars
Imma Be,Black Eyed Peas
Cooler Than Me (Single Mix),Mike Posner
DJ Got Us Fallin' In Love (feat. Pitbull),USHER
Break Your Heart (feat. Ludacris),Taio Cruz
Haven't Met You Yet,Michael Bublé
Down On Me (feat. 50 Cent),Jeremih
Billionaire (feat. Bruno Mars),Travie McCoy
Only Girl (In The World),Rihanna
If I Die Young,The Band Perry
Nothin' On You (feat. Bruno Mars),B.o.B
In My Head,Jason Derulo
I Like It (feat. Pitbull),Enrique Iglesias
Your Love Is My Drug,Kesha
Airplanes (feat. Hayley Williams of Paramore),B.o.B
Pumped Up Kicks,Foster the People
Omg (feat. will.i.am),USHER
F**k You,CeeLo Green
Bad Romance,Lady Gaga
Dynamite,Taio Cruz
